timestamp,open,high,low,close,volume
1774310400,638.818,638.818,638.818,638.818,0.0
1774310460,639.67,639.67,639.67,639.67,12.494
1774310520,639.67,639.67,639.67,639.67,0.0
1774310580,639.67,639.67,639.67,639.67,0.0
1774310640,638.886,638.886,638.886,638.886,0.62608
1774310700,638.886,638.886,638.886,638.886,0.0
1774310760,638.886,638.886,638.886,638.886,1.25215
1774310820,638.885,638.885,638.884,638.885,4.15504
1774310880,638.885,638.885,638.885,638.885,0.0
1774310940,638.885,638.885,638.885,638.885,0.0
1774311000,638.885,638.885,638.885,638.885,0.0
1774311060,638.885,638.885,638.885,638.885,0.0
1774311120,638.885,638.885,638.885,638.885,0.0
1774311180,638.885,638.885,638.885,638.885,0.0
1774311240,638.885,638.885,638.885,638.885,0.0
1774311300,638.885,638.885,638.885,638.885,0.0
1774311360,637.682,637.682,637.682,637.682,1.56811
1774311420,637.682,637.682,637.682,637.682,0.0
1774311480,637.682,637.682,637.682,637.682,0.0
1774311540,637.197,637.197,637.197,637.197,0.62774
1774311600,637.197,637.197,637.197,637.197,0.0
1774311660,637.399,637.399,637.399,637.399,1.64867
1774311720,637.399,637.399,637.399,637.399,0.0
1774311780,637.399,637.399,637.399,637.399,0.0
1774311840,637.399,637.399,637.399,637.399,0.0
1774311900,637.399,637.399,637.399,637.399,0.0
1774311960,637.399,637.399,637.399,637.399,0.0
1774312020,637.399,637.399,637.399,637.399,0.0
1774312080,637.399,637.399,637.399,637.399,0.0
1774312140,637.399,637.399,637.399,637.399,0.0
1774312200,637.399,637.399,637.399,637.399,0.0
1774312260,637.399,637.399,637.399,637.399,0.0
1774312320,637.399,637.399,637.399,637.399,0.0
1774312380,637.399,637.399,637.399,637.399,0.0
1774312440,637.399,637.399,637.399,637.399,0.0
1774312500,637.399,637.399,637.399,637.399,0.0
1774312560,637.399,637.399,637.399,637.399,0.0
1774312620,637.399,637.399,637.399,637.399,0.0
1774312680,636.762,636.858,636.762,636.858,0.28026
1774312740,634.867,634.867,634.711,634.711,0.48009
1774312800,635.889,635.889,635.889,635.889,1.25802
1774312860,636.538,636.538,636.538,636.538,0.62841
1774312920,636.526,636.526,636.526,636.526,0.16386
1774312980,636.526,636.526,636.526,636.526,0.0
1774313040,636.526,636.526,636.526,636.526,0.0
1774313100,636.526,636.526,636.526,636.526,0.0
1774313160,636.391,636.391,636.391,636.391,0.16892
1774313220,636.391,636.391,636.391,636.391,0.0
1774313280,636.391,636.391,636.391,636.391,0.0
1774313340,636.391,636.391,636.391,636.391,0.0
1774313400,636.55,636.55,636.55,636.55,0.31415
1774313460,636.55,636.55,636.55,636.55,0.0
1774313520,636.55,636.55,636.55,636.55,0.0
1774313580,636.55,636.55,636.55,636.55,0.0
1774313640,636.55,636.55,636.55,636.55,0.0
1774313700,636.55,636.55,636.55,636.55,0.0
1774313760,636.55,636.55,636.55,636.55,0.0
1774313820,636.55,636.55,636.55,636.55,0.0
1774313880,636.55,636.55,636.55,636.55,0.0
1774313940,636.55,636.55,636.55,636.55,0.0
1774314000,636.55,636.55,636.55,636.55,0.0
1774314060,636.55,636.55,636.55,636.55,0.0
1774314120,636.55,636.55,636.55,636.55,0.0
1774314180,636.55,636.55,636.55,636.55,0.0
1774314240,636.55,636.55,636.55,636.55,0.0
1774314300,636.55,636.55,636.55,636.55,0.0
1774314360,636.55,636.55,636.55,636.55,0.0
1774314420,636.55,636.55,636.55,636.55,0.0
1774314480,636.55,636.55,636.55,636.55,0.0
1774314540,636.55,636.55,636.55,636.55,0.0
1774314600,635.925,635.925,635.925,635.925,0.07793
1774314660,635.925,635.925,635.925,635.925,0.0
1774314720,635.925,635.925,635.925,635.925,0.0
1774314780,635.925,635.925,635.925,635.925,0.0
1774314840,635.925,635.925,635.925,635.925,0.0
1774314900,635.925,635.925,635.925,635.925,0.0
1774314960,635.925,635.925,635.925,635.925,0.0
1774315020,635.925,635.925,635.925,635.925,0.0
1774315080,634.921,634.921,634.921,634.921,0.00603
1774315140,634.921,634.921,634.921,634.921,0.0
