0,34.18,0.29256122,0,0,1773187205657,True,True
0,34.19,0.13743878,0,0,1773187205657,True,True
0,34.17,0.28967,0,0,1773187244859,True,True
0,34.1,0.2,0,0,1773187289119,False,True
0,34.14,0.2,0,0,1773187339137,False,True
0,34.1,2.0655223,0,0,1773187450304,False,True
0,34.1,0.2,0,0,1773187509325,False,True
0,34.09,0.2,0,0,1773187510469,False,True
0,34.11,0.2,0,0,1773187649293,False,True
0,34.13,0.20112,0,0,1773187714827,False,True
0,34.13,0.2,0,0,1773187860813,True,True
0,34.14,61.6895421,0,0,1773187860813,True,True
0,34.14,39.96230316,0,0,1773187860813,True,True
0,34.19,0.2,0,0,1773188139452,False,True
0,34.21,0.16208,0,0,1773188218778,True,True
0,34.2,0.16453,0,0,1773188259423,True,True
0,34.17,0.26820643,0,0,1773188345009,False,True
0,34.17,0.65002037,0,0,1773188345009,False,True
0,34.21,0.63847,0,0,1773188491378,True,True
0,34.21,1.44003,0,0,1773188589080,True,True
0,34.2,0.38296,0,0,1773188624912,False,True
0,34.24,0.9475,0,0,1773188810380,True,True
0,34.31,5.39201399,0,0,1773189030397,True,True
0,34.31,34.45973,0,0,1773189112534,True,True
0,34.29,37.68518276,0,0,1773189352505,False,True
0,34.31,20.4052,0,0,1773189359914,True,True
0,34.33,43.69356248,0,0,1773189390103,True,True
0,34.33,56.30643752,0,0,1773189390103,True,True
0,34.32,20.70221,0,0,1773189390692,False,True
0,34.36,0.57110092,0,0,1773189454410,False,True
0,34.39,1.13237,0,0,1773189455761,True,True
0,34.39,0.29098929,0,0,1773189573465,True,True
0,34.4,0.27319071,0,0,1773189573465,True,True
0,34.38,0.2,0,0,1773189599376,False,True
0,34.38,1.49455819,0,0,1773189608522,False,True
0,34.38,1.68213646,0,0,1773189619506,False,True
0,34.38,0.29084055,0,0,1773189619510,False,True
0,34.38,0.40230802,0,0,1773189621561,False,True
0,34.39,4.58826706,0,0,1773189684534,True,True
0,34.39,0.10259,0,0,1773189785032,True,True
0,34.4,2.7693,0,0,1773189883959,True,True
0,34.4,17.5855,0,0,1773189991104,True,True
0,34.38,0.00080572,0,0,1773189991872,False,True
0,34.38,5.0,0,0,1773189991872,False,True
0,34.37,61.6895421,0,0,1773189991873,False,True
