timestamp,open,high,low,close,volume
1774483200,1.41442,1.41442,1.41419,1.41424,1360.6281982
1774483260,1.41421,1.41421,1.41421,1.41421,7.572
1774483320,1.41421,1.41421,1.41421,1.41421,0.0
1774483380,1.41386,1.41427,1.41386,1.41398,5586.52637561
1774483440,1.4135,1.4135,1.41251,1.41251,627.874
1774483500,1.41292,1.41317,1.41292,1.41317,1118.83926009
1774483560,1.4129,1.4129,1.41242,1.41258,7394.35499751
1774483620,1.41272,1.41272,1.41186,1.41186,3510.063
1774483680,1.4119,1.41248,1.4119,1.4122,11661.25838376
1774483740,1.4124,1.4124,1.4122,1.4122,4752.08146162
1774483800,1.41165,1.41205,1.4115,1.4115,955.86611066
1774483860,1.41174,1.41174,1.41174,1.41174,152.09960938
1774483920,1.41178,1.41185,1.41178,1.41185,141.5
1774483980,1.41199,1.41199,1.41186,1.41187,48.478
1774484040,1.41192,1.41192,1.41192,1.41192,342.113
1774484100,1.4126,1.4134,1.4126,1.41315,27288.32124975
1774484160,1.41308,1.41463,1.41308,1.41463,843.717
1774484220,1.41502,1.41502,1.41467,1.41467,945.154
1774484280,1.41471,1.41548,1.41471,1.41548,3576.22612019
1774484340,1.41527,1.41527,1.41357,1.41357,8736.96264925
1774484400,1.41325,1.41382,1.41325,1.41382,2049.15132422
1774484460,1.41382,1.41382,1.41382,1.41382,0.0
1774484520,1.41324,1.41353,1.41311,1.41353,3741.08923239
1774484580,1.41368,1.41368,1.41367,1.41367,248.68164063
1774484640,1.41402,1.41409,1.41402,1.41409,10.7
1774484700,1.41316,1.41322,1.41316,1.41318,3542.099
1774484760,1.41283,1.41314,1.41283,1.41311,3546.31
1774484820,1.41311,1.41311,1.41272,1.41274,3896.30891213
1774484880,1.4126,1.4126,1.41258,1.41258,344.06172996
1774484940,1.41274,1.41289,1.41274,1.4128,6083.40466798
1774485000,1.4128,1.41283,1.41279,1.41283,65.515
1774485060,1.41287,1.41332,1.41267,1.41308,7537.66864727
1774485120,1.41263,1.41278,1.41263,1.41278,673.468
1774485180,1.41257,1.41308,1.41256,1.41287,867.98864089
1774485240,1.41271,1.41348,1.4127,1.41348,7543.38295355
1774485300,1.41287,1.41291,1.41287,1.41291,61.403
1774485360,1.41352,1.41408,1.41352,1.41408,650.451
1774485420,1.41361,1.41378,1.41361,1.41378,35.332
1774485480,1.41377,1.41391,1.41377,1.41391,938.94974631
1774485540,1.41354,1.41354,1.41334,1.41334,30.0
1774485600,1.41317,1.41378,1.41317,1.41363,32863.43072681
1774485660,1.41368,1.41368,1.41368,1.41368,163.98128125
1774485720,1.41342,1.41342,1.41271,1.41324,7436.17889006
1774485780,1.41323,1.41323,1.41289,1.41289,1697.62939063
1774485840,1.41343,1.41343,1.41343,1.41343,2428.90167132
1774485900,1.41444,1.41444,1.41444,1.41444,583.77937987
1774485960,1.41442,1.41442,1.41442,1.41442,1212.52441407
1774486020,1.41462,1.41462,1.41458,1.41458,132.009
1774486080,1.41514,1.41563,1.41514,1.41562,1194.60271856
1774486140,1.41586,1.4159,1.41449,1.41479,8706.97808321
1774486200,1.41478,1.41486,1.4147,1.41486,2270.3704961
1774486260,1.41479,1.41479,1.41411,1.41463,8210.61001875
1774486320,1.41407,1.41407,1.41224,1.41224,3619.51517304
1774486380,1.41244,1.41249,1.41164,1.41186,3536.52260033
1774486440,1.41188,1.41227,1.41188,1.41227,1029.98420879
1774486500,1.4124,1.4124,1.41092,1.41116,4340.77392797
1774486560,1.41176,1.41181,1.41155,1.4118,11667.80717268
1774486620,1.41201,1.41314,1.41201,1.41293,8498.55535017
1774486680,1.4129,1.4129,1.41237,1.41238,9944.39935642
1774486740,1.4127,1.413,1.4127,1.413,2030.44677735
1774486800,1.4144,1.41468,1.41384,1.4144,12724.44951139
1774486860,1.4142,1.41421,1.41328,1.41374,14920.7198507
1774486920,1.41292,1.41311,1.41292,1.41311,1370.39463282
1774486980,1.41355,1.41355,1.41329,1.41329,593.203
1774487040,1.41307,1.41307,1.41273,1.41273,3552.31908594
1774487100,1.41309,1.41309,1.4123,1.4127,6691.11514992
1774487160,1.41248,1.41248,1.4117,1.41176,7477.56321248
1774487220,1.4121,1.4121,1.41183,1.41186,10840.672
1774487280,1.4122,1.4122,1.41182,1.41184,3943.259
1774487340,1.41193,1.41212,1.41182,1.41212,4209.03892579
1774487400,1.41277,1.41277,1.41184,1.41184,11613.57806761
1774487460,1.41173,1.41173,1.41156,1.41156,1492.99300933
1774487520,1.41158,1.41181,1.41158,1.41181,769.2397597
1774487580,1.41197,1.41276,1.41197,1.41272,4107.85246527
1774487640,1.41273,1.41273,1.41231,1.41231,5160.3239305
1774487700,1.41231,1.41231,1.4112,1.4112,12252.13509714
1774487760,1.41113,1.41113,1.40983,1.41038,8958.28494197
1774487820,1.41062,1.41097,1.41043,1.41074,9837.64625495
1774487880,1.411,1.4111,1.411,1.4111,11.369
1774487940,1.41111,1.41111,1.41109,1.41109,233.9858876
1774488000,1.41101,1.41101,1.41079,1.41079,262.60246485
1774488060,1.41121,1.41144,1.41121,1.41125,32476.946
1774488120,1.41134,1.41169,1.41134,1.41169,3900.0
1774488180,1.41111,1.41125,1.41101,1.41125,4770.9455
1774488240,1.41125,1.41125,1.41125,1.41125,0.0
1774488300,1.41163,1.41224,1.41131,1.41224,7408.35549323
1774488360,1.41228,1.41297,1.41228,1.41254,15297.0806435
1774488420,1.41241,1.41287,1.41216,1.41287,37132.66597962
1774488480,1.41299,1.41299,1.41212,1.41219,20038.63084074
1774488540,1.41266,1.41324,1.41215,1.41324,11410.06147
1774488600,1.41339,1.41375,1.41339,1.41361,23114.64144433
1774488660,1.41389,1.41401,1.41352,1.41397,11360.75429741
1774488720,1.41397,1.41416,1.4135,1.41384,7078.56699983
1774488780,1.41382,1.41396,1.41382,1.41396,9447.78799916
