timestamp,open,high,low,close,volume
1774396800,40.316,40.341,40.316,40.341,2.7556
1774396860,40.359,40.363,40.359,40.363,10.0
1774396920,40.363,40.363,40.363,40.363,0.0
1774396980,40.398,40.398,40.398,40.398,2.4693
1774397040,40.398,40.398,40.398,40.398,0.0
1774397100,40.455,40.459,40.45,40.45,0.6226
1774397160,40.41,40.41,40.364,40.364,0.8579
1774397220,40.364,40.364,40.364,40.364,0.0
1774397280,40.447,40.447,40.415,40.415,34.5427
1774397340,40.385,40.388,40.385,40.388,6.8424
1774397400,40.388,40.388,40.388,40.388,0.0
1774397460,40.452,40.476,40.452,40.473,28.6796
1774397520,40.482,40.527,40.466,40.512,119.249
1774397580,40.512,40.512,40.512,40.512,0.0
1774397640,40.592,40.599,40.592,40.599,50.0
1774397700,40.58,40.58,40.526,40.526,62.0684
1774397760,40.559,40.594,40.559,40.592,24.1763
1774397820,40.581,40.581,40.556,40.556,34.4709
1774397880,40.545,40.563,40.545,40.563,1.1228
1774397940,40.549,40.549,40.486,40.486,53.7436
1774398000,40.486,40.486,40.486,40.486,0.0
1774398060,40.486,40.486,40.486,40.486,0.0
1774398120,40.54,40.54,40.54,40.54,12.2258
1774398180,40.584,40.588,40.584,40.584,25.2087
1774398240,40.585,40.592,40.585,40.592,14.8525
1774398300,40.6,40.687,40.6,40.687,67.6788
1774398360,40.691,40.732,40.691,40.709,64.8525
1774398420,40.676,40.708,40.676,40.708,212.5743
1774398480,40.714,40.732,40.684,40.684,22.1484
1774398540,40.683,40.683,40.672,40.678,16.2621
1774398600,40.651,40.651,40.54,40.563,1.1423
1774398660,40.549,40.593,40.549,40.58,2.8565
1774398720,40.668,40.762,40.668,40.751,15.8259
1774398780,40.706,40.749,40.706,40.749,42.459
1774398840,40.779,40.782,40.71,40.71,64.3078
1774398900,40.731,40.761,40.72,40.752,412.0558
1774398960,40.745,40.752,40.721,40.752,53.2751
1774399020,40.76,40.94,40.76,40.879,50.7006
1774399080,40.888,40.888,40.868,40.874,16.383
1774399140,40.871,40.874,40.841,40.842,215.5286
1774399200,40.862,40.862,40.851,40.851,6.9229
1774399260,40.814,40.814,40.776,40.776,136.5268
1774399320,40.768,40.81,40.767,40.767,6.8541
1774399380,40.725,40.725,40.704,40.704,19.2288
1774399440,40.635,40.648,40.604,40.619,29.3448
1774399500,40.651,40.651,40.603,40.605,10.0079
1774399560,40.598,40.66,40.574,40.66,125.4672
1774399620,40.66,40.759,40.659,40.759,11.2165
1774399680,40.727,40.727,40.665,40.673,16.4285
1774399740,40.682,40.682,40.557,40.557,55.1761
1774399800,40.596,40.596,40.585,40.588,15.1888
1774399860,40.588,40.607,40.588,40.596,15.8516
1774399920,40.625,40.625,40.625,40.625,1.0
1774399980,40.673,40.673,40.557,40.557,8.3909
1774400040,40.552,40.572,40.527,40.541,53.4521
1774400100,40.493,40.541,40.493,40.525,23.3542
1774400160,40.531,40.531,40.522,40.522,3.436
1774400220,40.568,40.568,40.551,40.567,7.7582
1774400280,40.594,40.594,40.497,40.497,24.2321
1774400340,40.49,40.5,40.485,40.485,5.1888
1774400400,40.471,40.471,40.433,40.433,13.1844
1774400460,40.421,40.421,40.353,40.37,13.1363
1774400520,40.403,40.454,40.367,40.454,395.4576
1774400580,40.422,40.444,40.415,40.444,1.1552
1774400640,40.432,40.456,40.431,40.456,3.9095
1774400700,40.499,40.499,40.469,40.469,2.1918
1774400760,40.465,40.465,40.448,40.448,1.5121
1774400820,40.493,40.518,40.493,40.518,244.6243
1774400880,40.462,40.468,40.46,40.468,8.4663
1774400940,40.468,40.468,40.468,40.468,0.0
1774401000,40.549,40.549,40.549,40.549,0.489
1774401060,40.575,40.596,40.575,40.596,50.0
1774401120,40.679,40.679,40.631,40.631,4.3138
1774401180,40.617,40.617,40.6,40.613,26.4704
1774401240,40.592,40.618,40.576,40.618,29.8866
1774401300,40.622,40.642,40.614,40.638,34.9547
1774401360,40.495,40.495,40.481,40.481,6.1581
1774401420,40.472,40.472,40.472,40.472,3.3544
1774401480,40.516,40.516,40.47,40.497,35.6934
1774401540,40.485,40.485,40.482,40.482,25.8844
1774401600,40.518,40.518,40.518,40.518,2.0063
1774401660,40.566,40.576,40.566,40.576,41.0337
1774401720,40.576,40.576,40.576,40.576,0.0
1774401780,40.506,40.51,40.506,40.51,27.2436
1774401840,40.529,40.55,40.529,40.55,22.7783
1774401900,40.55,40.55,40.55,40.55,0.0
