timestamp,open,high,low,close,volume
1773792000,94.627,94.702,94.627,94.702,139.24247
1773792060,94.747,94.866,94.747,94.781,496.08735
1773792120,94.78,94.784,94.722,94.722,236.45615
1773792180,94.687,94.7,94.574,94.658,475.43708
1773792240,94.599,94.721,94.593,94.721,125.22015
1773792300,94.723,94.785,94.716,94.747,284.00549
1773792360,94.727,94.727,94.699,94.708,65.64944
1773792420,94.74,94.825,94.74,94.825,249.83237
1773792480,94.823,94.98,94.823,94.954,663.37509
1773792540,94.941,94.941,94.791,94.791,472.59685
1773792600,94.792,94.865,94.792,94.837,96.17969
1773792660,94.837,94.837,94.751,94.752,111.18978
1773792720,94.754,94.818,94.754,94.818,45.51288
1773792780,94.798,94.83,94.778,94.83,75.0192
1773792840,94.781,94.781,94.716,94.716,0.74303
1773792900,94.748,94.756,94.745,94.745,9.48
1773792960,94.744,94.744,94.468,94.616,325.00335
1773793020,94.623,94.695,94.554,94.607,175.69347
1773793080,94.556,94.556,94.47,94.556,1.14052
1773793140,94.57,94.573,94.569,94.569,8.46598
1773793200,94.543,94.546,94.543,94.546,1.631
1773793260,94.502,94.54,94.502,94.52,9.59362
1773793320,94.519,94.519,94.436,94.436,56.94623
1773793380,94.363,94.423,94.319,94.319,122.20726
1773793440,94.293,94.328,94.158,94.168,160.11916
1773793500,94.198,94.235,94.198,94.198,65.41987
1773793560,94.278,94.319,94.278,94.295,13.03354
1773793620,94.321,94.411,94.321,94.344,30.48953
1773793680,94.345,94.345,94.333,94.333,10.65155
1773793740,94.307,94.366,94.307,94.366,2.471
1773793800,94.348,94.348,94.306,94.306,11.9746
1773793860,94.32,94.413,94.32,94.405,91.43624
1773793920,94.398,94.403,94.243,94.243,58.41224
1773793980,94.25,94.25,94.143,94.147,287.5885
1773794040,94.203,94.277,94.203,94.233,38.22852
1773794100,94.233,94.344,94.233,94.341,79.07296
1773794160,94.312,94.32,94.301,94.317,31.91243
1773794220,94.294,94.294,94.223,94.293,221.94923
1773794280,94.22,94.297,94.154,94.295,147.83421
1773794340,94.285,94.285,94.21,94.246,137.76093
1773794400,94.27,94.274,94.261,94.271,68.43894
1773794460,94.265,94.265,94.183,94.183,105.0534
1773794520,94.164,94.227,94.139,94.209,115.38388
1773794580,94.252,94.252,94.252,94.252,0.41399
1773794640,94.327,94.368,94.327,94.368,3.71212
1773794700,94.498,94.563,94.493,94.563,51.15821
1773794760,94.557,94.65,94.544,94.65,91.37822
1773794820,94.64,94.661,94.563,94.563,73.11038
1773794880,94.611,94.636,94.563,94.609,51.00401
1773794940,94.563,94.567,94.563,94.567,76.49024
1773795000,94.538,94.588,94.533,94.588,27.03199
1773795060,94.597,94.597,94.561,94.561,1.62358
1773795120,94.599,94.648,94.599,94.64,124.6334
1773795180,94.666,94.697,94.666,94.686,76.01807
1773795240,94.676,94.676,94.545,94.545,4.53054
1773795300,94.556,94.586,94.549,94.586,7.245
1773795360,94.583,94.615,94.583,94.615,6.72857
1773795420,94.584,94.584,94.584,94.584,2.07572
1773795480,94.585,94.585,94.516,94.532,6.90308
1773795540,94.548,94.564,94.545,94.561,1.15905
1773795600,94.569,94.622,94.539,94.622,0.56756
1773795660,94.624,94.729,94.624,94.692,79.51029
1773795720,94.694,94.772,94.694,94.772,23.26136
1773795780,94.723,94.743,94.722,94.743,4.97832
1773795840,94.744,94.744,94.704,94.705,11.11129
1773795900,94.79,94.79,94.766,94.775,2.7337
1773795960,94.755,94.755,94.735,94.742,3.4132
1773796020,94.703,94.711,94.69,94.69,2.65911
1773796080,94.692,94.697,94.684,94.691,98.089
1773796140,94.657,94.733,94.657,94.733,13.3622
1773796200,94.733,94.733,94.733,94.733,0.0
1773796260,94.638,94.647,94.504,94.504,78.8491
1773796320,94.512,94.512,94.509,94.509,4.389
1773796380,94.589,94.637,94.589,94.612,12.19036
1773796440,94.603,94.627,94.603,94.623,8.90362
1773796500,94.6,94.631,94.592,94.592,95.61547
1773796560,94.611,94.641,94.611,94.641,2.08386
1773796620,94.668,94.67,94.609,94.609,136.00849
1773796680,94.53,94.58,94.518,94.566,47.959
1773796740,94.594,94.7,94.594,94.614,67.96468
1773796800,94.609,94.743,94.609,94.743,11.00572
1773796860,94.773,94.804,94.773,94.78,7.95663
1773796920,94.764,94.764,94.747,94.747,23.23058
1773796980,94.766,94.766,94.732,94.735,55.10108
1773797040,94.718,94.718,94.695,94.705,15.5397
1773797100,94.719,94.759,94.719,94.759,47.01555
1773797160,94.741,94.741,94.675,94.697,157.1445
1773797220,94.714,94.775,94.714,94.775,125.63267
1773797280,94.795,94.815,94.795,94.815,47.798
1773797340,94.816,94.818,94.796,94.796,1.31499
1773797400,94.786,94.805,94.786,94.805,11.05124
1773797460,94.801,94.958,94.801,94.912,53.0551
1773797520,94.934,94.934,94.79,94.79,49.72633
1773797580,94.785,94.871,94.749,94.871,133.69873
1773797640,94.826,94.826,94.826,94.826,0.01044
1773797700,94.781,94.781,94.781,94.781,0.613
1773797760,94.786,94.786,94.71,94.71,1.35202
1773797820,94.673,94.789,94.673,94.789,57.45493
1773797880,94.84,94.856,94.829,94.831,46.798
1773797940,94.777,94.777,94.746,94.746,122.05635
1773798000,94.749,94.749,94.749,94.749,0.84768
1773798060,94.775,94.828,94.775,94.791,32.63278
1773798120,94.782,94.789,94.775,94.78,1.6249
1773798180,94.78,94.78,94.78,94.78,0.0
1773798240,94.819,94.819,94.808,94.808,17.60697
1773798300,94.716,94.822,94.716,94.821,98.04251
1773798360,94.814,94.814,94.797,94.797,0.934
1773798420,94.791,94.791,94.753,94.753,1.70959
1773798480,94.706,94.706,94.706,94.706,0.42401
1773798540,94.683,94.696,94.633,94.633,34.00386
1773798600,94.65,94.659,94.65,94.659,5.807
1773798660,94.667,94.667,94.568,94.568,12.03424
1773798720,94.603,94.603,94.486,94.486,55.51787
1773798780,94.464,94.464,94.397,94.397,11.97025
1773798840,94.41,94.416,94.385,94.385,19.25968
1773798900,94.387,94.456,94.387,94.439,26.2917
1773798960,94.452,94.491,94.452,94.485,8.94822
1773799020,94.485,94.485,94.485,94.485,0.0
1773799080,94.437,94.493,94.437,94.493,3.05382
1773799140,94.506,94.506,94.48,94.48,45.07391
1773799200,94.451,94.46,94.45,94.46,11.19322
1773799260,94.508,94.531,94.508,94.527,54.32432
1773799320,94.519,94.52,94.496,94.52,2.44725
1773799380,94.537,94.559,94.537,94.559,80.07196
1773799440,94.545,94.554,94.519,94.524,23.12885
1773799500,94.528,94.53,94.528,94.53,46.079
1773799560,94.653,94.653,94.653,94.653,45.0
1773799620,94.656,94.657,94.627,94.627,2.08489
1773799680,94.663,94.682,94.663,94.682,12.54916
1773799740,94.731,94.832,94.731,94.832,13.4958
1773799800,94.893,94.893,94.877,94.877,12.38677
1773799860,94.866,94.926,94.866,94.919,14.89417
1773799920,94.98,95.018,94.976,94.976,168.44883
1773799980,94.919,94.957,94.89,94.948,49.99744
1773800040,94.938,94.938,94.877,94.903,46.24893
1773800100,94.93,94.93,94.9,94.91,47.909
1773800160,94.946,94.955,94.91,94.91,26.49328
1773800220,94.93,94.93,94.886,94.909,18.42662
1773800280,94.902,94.902,94.86,94.86,26.90047
1773800340,94.86,94.91,94.86,94.91,83.60237
1773800400,94.918,94.918,94.88,94.881,2.68
1773800460,94.881,94.909,94.871,94.909,10.34234
1773800520,94.91,94.91,94.806,94.806,6.80587
1773800580,94.805,94.858,94.805,94.858,11.54
1773800640,94.858,94.858,94.858,94.858,0.0
1773800700,94.799,94.799,94.751,94.77,9.89069
1773800760,94.762,94.778,94.762,94.778,14.07485
1773800820,94.754,94.754,94.754,94.754,0.38488
1773800880,94.717,94.717,94.707,94.707,11.58896
1773800940,94.707,94.786,94.707,94.782,1.24115
1773801000,94.794,94.818,94.79,94.801,16.37032
1773801060,94.824,94.827,94.749,94.749,11.24068
1773801120,94.802,94.881,94.802,94.881,14.09921
1773801180,94.856,94.902,94.856,94.902,0.91925
1773801240,94.893,95.192,94.893,95.056,259.88228
1773801300,95.024,95.024,95.012,95.012,1.56269
1773801360,94.956,94.956,94.922,94.922,41.2642
1773801420,94.94,94.95,94.911,94.95,6.4735
1773801480,94.969,95.044,94.969,95.044,24.07367
1773801540,95.061,95.106,95.061,95.069,153.67651
1773801600,95.04,95.04,94.99,94.99,103.74093
1773801660,95.024,95.047,95.024,95.047,1.72807
1773801720,95.065,95.137,95.062,95.126,262.98824
1773801780,95.122,95.122,95.087,95.091,119.98534
1773801840,95.094,95.094,95.094,95.094,0.10614
1773801900,95.172,95.219,95.15,95.208,1109.6031
1773801960,95.213,95.245,95.124,95.124,196.0991
1773802020,95.15,95.15,95.116,95.116,1.6322
1773802080,95.093,95.098,95.093,95.098,8.896
1773802140,95.1,95.1,95.063,95.074,2.10036
1773802200,95.073,95.073,95.038,95.038,1.6886
1773802260,95.018,95.021,95.018,95.021,1.72017
1773802320,95.033,95.071,95.033,95.071,0.743
1773802380,95.063,95.063,95.022,95.038,7.39962
1773802440,95.04,95.04,94.974,94.979,135.08793
1773802500,94.991,95.013,94.991,95.013,3.33795
1773802560,95.002,95.014,94.955,95.009,151.64254
1773802620,95.011,95.011,95.001,95.001,3.05285
1773802680,95.007,95.007,94.966,94.977,4.10944
1773802740,94.999,94.999,94.999,94.999,0.05218
1773802800,95.025,95.025,95.025,95.025,2.586
1773802860,95.015,95.021,95.015,95.021,12.34904
1773802920,95.057,95.057,95.057,95.057,7.32439
1773802980,95.071,95.08,95.071,95.08,14.737
1773803040,95.069,95.069,95.069,95.069,1.31483
1773803100,95.043,95.08,94.993,94.998,91.78328
1773803160,95.02,95.02,94.993,94.993,1.06378
1773803220,94.956,94.963,94.896,94.902,66.30818
1773803280,94.901,94.928,94.845,94.928,215.86497
